company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,state code,company_age,python,r,java,scala,sql,spark,aws,azure,airflow,snowflake,git
"The Boston Beer Company
",BI Data Engineer II,"Boston, MA","We are currently hiring a BI Data Engineer II in Boston, MA (Hybrid) .
This is a great role on a team that is transforming Business Intelligence technology at Boston Beer. The Data Engineer II is a technical role with SQL Server and Azure cloud data technology at its core and has ample opportunity for technical growth as we move from traditional data technologies to cloud data architecture. As Boston Beer takes on new challenges in areas like supply chain and digital, this role will be highly involved in ensuring our data platform is scalable, performant, and ready for the future.
Working within the Boston-based Business Intelligence team, this role is responsible for various database activities all centered on delivering impactful Business Intelligence solutions and maintaining and improving our database systems. This is a multi-faceted role that includes technical analysis, design, development, testing and maintenance as well as user interaction including requirements gathering, training, etc. This role will work on our on-premises SQL data warehouse platform and helping to build out the data platform of the future in Azure.
Show More
Report",120.0,1001 to 5000 Employees,Company - Public,Manufacturing,Food & Beverage Manufacturing,1984.0, MA,39.0,0,1,0,1,1,0,0,1,0,0,1
"Clairvoyant Inc.
",Sr. Azure Data Engineer,Remote,"Role: Azure Lead Data Engineer
Location: Remote
Duration: Full Time
Job Description:
9+ Years of Experience in designing and hands-on development in cloud-based analytics solutions.
Expert level understanding on Azure Data Factory, Azure Synapse, Azure SQL, Azure Data Lake, and Azure App Service is required.
Designing and building of data pipelines using API ingestion and Streaming ingestion methods.
Knowledge of Dev-Ops processes (including CI/CD) and Infrastructure as code is essential.
Experience in developing NO SQL solutions using Azure Cosmos DB is essential.
Thorough understanding of Azure and AWS Cloud Infrastructure offerings.
Strong experience in common data warehouse modelling principles including Kimball, Inmon.
Experience in additional Modern Data Platforms related technologies such as Snowflake, Matillion, BryteFlow and Tableau are a distinct advantage
Knowledge in Azure Databricks, Azure IoT, Azure HDInsight + Spark, Azure Stream Analytics, Power BI is desirable
Knowledge of Microsoft BI Stack (SSRS/SSAS (Tabular with DAX & OLAP with MDX) SSIS) is desirable.
Knowledge of C# and Hands-on with Powershell scripting is desirable.
Working knowledge of Python is desirable
Experience developing security models.
Show More
Report",120.0,51 to 200 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,,Remote,,1,1,0,0,1,1,1,1,0,1,0
Market Tree Research,Sr. Data Engineer,"Carolina, WV","Job Summary:
The primary purpose of this role is to translate business requirements and functional specifications into logical program designs and to deliver modules, stable application systems, and Data or Platform solutions. This includes developing, configuring, or modifying complex integrated business and/or enterprise infrastructure or application solutions within various computing environments. This role facilitates the implementation and maintenance of complex business and enterprise Data or Platform solutions to ensure successful deployment of released applications.
Minimum Qualifications
Bachelor's Degree in Engineering, Computer Science, CIS, or related field (or equivalent work experience in a related field)
Show More
Report",137.5,Unknown,Company - Private,,,, WV,,0,1,0,0,0,0,0,0,0,0,0
"CentillionZ IT Solutions
",Senior Cloud Data Engineer,"Trenton, NJ","Role: Senior Cloud Data Engineer
Location: Trenton, NJ (Hybrid,3 days onsite)
Contract Duration: 12+ Months
Interview: In person interviews on Thursday and Friday afternoon
The State of NJ is seeking a Cloud Data Engineer that will assist in maintaining, and monitoring infrastructure as well as build or assist in building data transformation pipelines. Candidate must have prior experience with AWS or Azure and extensive knowledge of python for ETL development. Additional Cloud-based tools experience is important (see skills section)
Additional desired skills include experience with the following:

Show More
Report",119.0,51 to 200 Employees,Company - Private,,,, NJ,,1,1,0,0,0,0,1,1,0,0,0
"Digible
",Data Engineer,Remote,"As the Data Engineer at Digible, you will be responsible for designing, developing, and maintaining our data pipeline, ensuring that data is properly collected, processed, and analyzed to inform business decisions. You will work closely with cross-functional teams in order to understand their data needs and ensure that our data infrastructure supports those needs. You will also be responsible for ensuring the integrity and security of our data.
About Us:
Privately owned and operated, Digible was founded in 2017 with a mission to bring sophisticated digital marketing solutions to the multifamily industry. We offer a comprehensive suite of digital services as well as a predictive analytics platform, Fiona, that is the first of its kind.
At Digible, Inc. we love to celebrate our diverse group of hardworking employees – and it shows. We pride ourselves on our collaborative, transparent, and authentic culture. These values are pervasive throughout every step of a Digible employee's journey. Starting with our interviews and continuing through our weekly All Hands Transparency Round-up, values are at the heart of working at Digible.
Show More
Report",100.0,51 to 200 Employees,Company - Private,Media & Communication,Advertising & Public Relations,2017.0,Remote,6.0,0,1,0,0,0,0,0,0,0,0,1
"Cortrack Solutions Pvt Ltd.
",Sr. Data Engineer,Remote,"Sr. Data Engineer Responsibilities: - Design, develop, and implement scalable data pipelines and ETL processes using Java, Python, and Spark.- Collaborate with data scientists, analysts, and other stakeholders to understand data requirements and design efficient solutions. - Manage and optimize Spark clusters to ensure high performance and reliability. - Perform data exploration, data cleaning, and data transformation tasks to prepare data for analysis and modeling. - Develop and maintain data models and schemas to support data integration and analysis. - Implement data quality and validation checks to ensure accuracy and consistency of data. - Utilize REST API development skills to create and integrate data services and endpoints for seamless data access and consumption. - Monitor and troubleshoot data pipeline performance, identifying and resolving bottlenecks and issues. - Stay updated with the latest technologies and trends in big data, data engineering, data science, and REST API development, and provide recommendations for process improvements. - Mentor and guide junior team members, providing technical leadership and sharing best practices. Qualifications:- Master's degree in Computer Science, Data Science, or a related field. - Proven experience in Spark cluster management, optimization, and performance tuning. - Solid understanding of data science concepts and experience working with data scientists and analysts. - - Experience in designing and developing REST APIs using frameworks such as Flask or Spring. - Strong problem-solving and analytical skills, with the ability to tackle complex data engineering challenges. - Excellent communication and collaboration skills, with the ability to work effectively in a team-oriented environment. If you are a highly motivated and skilled Senior Data Engineer with a passion for big data, data engineering, and REST API development, we would love to hear from you. Join our team and contribute to the success of our data-driven initiatives as we strive to make a significant impact in the industry. Thanks!
Show More
Report",75.0,501 to 1000 Employees,Company - Private,,,,Remote,,1,1,1,1,0,1,0,0,0,0,0
"eimagine
",Data Engineer,"Indianapolis, IN","Description of Duties:
At eimagine, we know that your best work happens when you live your best life and share your unique talents, so we do everything we can to be intentional in a remote enabled environment to make that possible. Recognized as a Best Places to Work since 2015, we are a team of humbly confident people who are proud of their craft, continuous learners, and have been known to cheer loudly for our teammates. For over 24 years we have been helping clients navigate technology and business change, while staying committed to delivering value & outcomes that enables their success.

Due to our growth, wDatae are seeking a Data Engineer who will collaborate with team members to create data-driven solutions. This individual will contribute to the team’s success by working with disparate data sources, identifying the value in each, and transforming and maintaining this data to help drive decision-making. This hire will be heavily involved with health and human services-related data and analysis. A data engineer with previous experience and/or interest in health data, especially that related to Medicaid and its population, is a plus. An ideal candidate will enjoy working in ambiguity, be comfortable working across many different types of data and data questions on a daily basis, and identify creative solutions to questions that need to be answered.
Desired Skills & Experience:
Education:
Show More
Report",92.0,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,1998.0, IN,25.0,0,1,0,0,0,0,0,0,0,0,0
"Oddball
",Data Engineer,Remote,"Oddball believes that the best products are built when companies understand and value the things they are working on. We value learning and growth and the ability to make a big impact at a small company. We believe that we can make big changes happen and improve the daily lives of millions of people by bringing quality software to the federal space.
We are hiring a Data Engineer to work on a pivotal Federal program that is making a positive impact on millions of Americans' daily lives.
What you'll be doing:
Migrating custom-built Python ETL and ELT pipelines into a modern orchestration framework with Argo Workflows and dbt.
Improving observability, discoverability, governance, and implementing a common data integrity and data quality testing framework using tools such as dbt, OpenMetadata and Great Expectations.
Show More
Report",120.0,1 to 50 Employees,Company - Private,,,,Remote,,1,1,0,0,0,0,0,0,0,0,0
"Pallidus, Inc
",Data Engineer,Remote,"Pallidus, Inc. is a fast-growing producer of large diameter Silicon Carbide (SiC) wafers for high power and high frequency semiconductor applications in transportation, green energy, telecommunications, and Industrial markets. Pallidus’ M-SiC™ technology delivers step change improvements in SiC quality and cost effectiveness to drive wafer to device yield performance. Pallidus is a high energy, technology driven and innovative startup company looking for like-minded people to join our team.

SCOPE
Pallidus is looking for a Data Engineer to deliver business value through the design and integration of information models that originate from multiple data sources. You will be responsible for expanding and optimizing our data and data pipeline architecture and data flow and collection for cross-functional teams. The Data Engineer will be part of the growing the data science team and be responsible for the day-to-day activities related to the implementation of new services and support for existing services.

Show More
Report",135.0,1 to 50 Employees,Company - Private,,,,Remote,,0,1,0,0,0,0,0,0,0,0,0
"Radcube LLC
",Data Engineer,Remote,"The basic skills and experience needed for the role.
Data Management Experience in AWS – AWS S3, Glue, Redshift
Data modelling, engineering to design/build conformed data models
Power BI for data visualizations
Data analysis and insights discovery
Health care product analytics
Job Types: Full-time, Contract
Pay: $84,263.57 - $120,000.00 per year
Benefits:
Show More
Report",102.0,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,,Remote,,0,1,0,0,0,0,1,0,0,0,0
"Tremco Incorporated
",Data Engineer,Remote,"BUILD YOUR FUTURE WHILE YOU HELP BUILD A BETTER WORLD!
Tremco CPG is an aggressive, growth-oriented company with revenues of over $1 billion. We are a world leader in solving complex waterproofing and roofing problems for our commercial, institutional, and industrial customers.
If you’re looking for a place to build a career, with great benefits, advancement opportunity, technology, people and a commitment to a sustainable future, you’ve found it with us.
Tremco CPG is currently searching for a Data Engineer in our Roofing and Building Maintenance Division.
*100% REMOTE / TELEWORK*
We are looking for a candidate that thrives in a collaborative environment, is a self-starter, and is passionate about data science. Our data science team is the foundation for data-driven business decisions and is leading the way for continued growth in innovative markets within the construction industry.
On the Data Science team, the Data Engineer’s purpose is to design, develop, and maintain the company's data infrastructure, pipelines, and workflows. They are responsible for merging predictive and prescriptive modeling to ensure it stays consistent with data flowing across the organization. They work closely with data scientists, analysts, and other stakeholders to ensure the data is properly collected, stored, processed, and analyzed to drive informed business decisions.
If you are passionate about data science and want to work with a dynamic team of professionals, please apply today!





Show More
Report",90.0,1001 to 5000 Employees,Subsidiary or Business Segment,Manufacturing,Chemical Manufacturing,1997.0,Remote,26.0,0,1,0,0,0,0,0,0,0,0,0
"Janus Henderson
",Investments Technology Data Engineer,"Denver, CO","Why work for us?

A career at Janus Henderson is more than a job, it’s about investing in a brighter future together.

Our Mission at Janus Henderson is to help clients define and achieve superior financial outcomes through differentiated insights, disciplined investments, and world-class service. We will do this by protecting and growing our core business, amplifying our strengths and diversifying where we have the right.

Our Values are key to driving our success, and are at the heart of everything we do:

Clients Come First - Always | Execution Supersedes Intention | Together We Win | Diversity Improves Results | Truth Builds Trust























Show More
Report",140.0,1001 to 5000 Employees,Company - Public,Financial Services,Investment & Asset Management,2017.0, CO,6.0,0,1,0,0,0,0,0,0,0,0,0
"Pumpkin
",Data Engineer,Remote,"Hi from Pumpkin!
Pumpkin is a pet care company on a mission to help make ‘the best pet care possible fur all’. We want to revolutionize pet healthcare by making it easier for families to provide their pets with the wellness and medical care they need throughout their lives. Launched by Zoetis (ZTS), a Fortune 500 company that’s the world’s largest animal health company, Pumpkin is an early-stage startup with big dreams! As a pack, we share agility, guts, collaboration, and a relentless pursuit in creating a healthier, happier world for pets and their people.

Pumpkin is looking for an experienced Data Engineer to join our growing data and analytics team. In this role, you’ll enhance data accessibility, establishing a dependable platform that enables decentralized teams to discover insights and create impactful product features. As a part of our data team, you will significantly influence the evolution of our data platform. Your input will directly affect Pumpkin's capacity to reveal insights and enrich our knowledge of pet owners and their pets. If you're passionate about data, enjoy problem-solving, and are excited to improve pets' lives, we would love to hear from you!






Show More
Report",132.5,51 to 200 Employees,Company - Private,Financial Services,Banking & Lending,2014.0,Remote,9.0,0,1,0,0,0,0,0,0,0,0,0
"Zelis
",Data Engineer,"Saint Petersburg, FL","Summary:
Design, develop and implement scalable batch/real time data pipelines (ETLs) to integrate data from a variety of sources into Data Warehouse and Data Lake
Design and implement data model changes that align with warehouse dimensional modeling standards.
Proficient in Data Lake, Data Warehouse Concepts and Dimensional Data Model.
Responsible for maintenance and support of all database environments, design and develop data pipelines, workflow, ETL solutions on both on-prem and cloud-based environments.
Design and develop SQL stored procedures, functions, views, and triggers


Show More
Report",103.5,1001 to 5000 Employees,Company - Private,Healthcare,Health Care Services & Hospitals,2016.0, FL,7.0,0,1,0,1,1,0,0,0,0,0,0
"The Hanover Insurance Group
",Data Engineer,"Worcester, MA","For more than 170 years, The Hanover has been committed to delivering on our promises and being there when it matters the most. We live our values every day, demonstrating we CARE through our values, ESG initiatives and IDE journey.

Our Claim Analytics dept is currently seeking a Data Engineer to join their growing team. This position is a remote work opportunity.

Position Overview:
Data engineering is the aspect of data science that focuses on practical applications of data collection and analysis. This role primarily will become proficient with all internal & external data produced and consumed by THG. The engineer will understand where the data is, basic data models and architecture, how to access and obtain data and how to manipulate and work with data to produce output – which may be reports, datasets or self-service reports.
This is a full time/ exempt role.


This role will begin to work on more complex projects with minimal supervision. The Data Engineer will confer with business partners on data/reporting requests. The assignments will become broader in nature, usually requiring originality and ingenuity. This role will be assigned projects and be accountable for successful outcomes. Some Insurance knowledge required.


Education
2-5 years related experience and bachelor’s degree. Degrees and/or related experience in Applied Data Science, Data Science, Information and Data Science, Information Management Analytics, Data Mining, Predictive Analytics are most sought-after. Degrees in Statistics, Mathematics, Computer Science, Information Systems are also preferred.
Skills

It’s not just a job, it’s a career, and we are here to support you every step of the way. We want you to be successful and fulfilled. Through on-the-job experiences, personalized coaching and our robust learning and development programs, we encourage you – at every level – to grow and develop.


We offer comprehensive benefits to help you be healthy, build financial security, and balance work and home life. At The Hanover, you’ll enjoy what you do and have the support you need to succeed.



The Hanover values diversity in the workplace and among our customers. The company provides equal opportunity for employment and promotion to all qualified employees and applicants on the basis of experience, training, education, and ability to do the available work without regard to race, religion, color, age, sex/gender, sexual orientation, national origin, gender identity, disability, marital status, veteran status, genetic information, ancestry or any other status protected by law.

Furthermore, The Hanover Insurance Group is committed to providing an equal opportunity workplace that is free of discrimination and harassment based on national origin, race, color, religion, gender, ancestry, age, sexual orientation, gender identity, disability, marital status, veteran status, genetic information or any other status protected by law.”

As an equal opportunity employer, Hanover does not discriminate against qualified individuals with disabilities. Individuals with disabilities who wish to request a reasonable accommodation to participate in the job application or interview process, or to perform essential job functions, should contact us at: HRServices@hanover.com and include the link of the job posting in which you are interested.


To view our privacy policy and online privacy statement, click here.

To see the types of information we may collect from applicants and employees and how we use it, please click here.
Show More
Report",94.0,5001 to 10000 Employees,Company - Public,Insurance,Insurance Carriers,1852.0, MA,171.0,0,1,0,0,0,0,0,0,0,0,0
"Prime Therapeutics
",Data Engineer - Remote,Remote,"Our work matters. We help people get the medicine they need to feel better and live well. We do not lose sight of that. It fuels our passion and drives every decision we make.
Job Posting Title
Data Engineer - Remote
Job Description Summary
This position will analyze problems in terms of detailed requirements. Role will build and implement high quality data pipelines using at least one Data Management tool. Responsible for integrating the pipelines to Data Quality Frameworks (DQF) and capture the KPI (Key Performance Indicators). Ensure each pipeline comes with built in governance (data dictionary) and meta-data (job related information). Will develop or consume web services for data integration and orchestration needs. Perform ingestion, transformation and data enrichments. Responsible for understanding RDBMS concepts and connectivity to various databases and sources (including Cloud) including virtualization. Contribute to 24x7x365 days of on-call staff coverage.
IT
Bachelors - Computer and Information Science
Potential pay for this position ranges from $77,100.00 - $115,900.00 based on experience and skills. Pay range may vary by 8% depending on applicant location.

Show More
Report",96.5,5001 to 10000 Employees,Company - Private,Insurance,Insurance Carriers,1998.0,Remote,25.0,0,1,0,0,0,0,0,0,0,0,0
"Knowesis
",Data Scientist Engineer,"Silver Spring, MD","Position: Data Scientist Engineer
Location: Silver Spring, MD
Clearance Required: Public Trust
Status: Contingent upon contract award
Knowesis is looking for a Genomic Surveillance Specialist to support the Armed Forces Health Surveillance Branch (AFHSB) of the Defense Health Agency (DHA). To be eligible for this position, candidates must have the ability to obtain a Public Trust clearance and possess U.S. Citizenship without the need for sponsorship, both now and in the future. Applicants without proof of U.S. Citizenship will not be considered due to the position’s security clearance requirements.
The Job Duties and Responsibilities include but are not limited to the following:
Show More
Report",109.5,51 to 200 Employees,Company - Private,Management & Consulting,Business Consulting,2007.0, MD,16.0,0,1,0,0,0,0,0,0,0,0,0
RSHARMA,Sr. Data Engineer with Python/– 10+ Years,"Wilmington, DE","We need Only Local candidate to Wilmington, DE
FULLTIME POSITION
Job Title: Sr. Data Engineer with Python– 10+ Years
Location: Wilmington, DE – Only Local and near by candidate
Duration: FTE
Job Description:
5+ years of professional work experience designing and implementing data pipelines in a cloud environment is required.


Show More
Report",135.0,,,,,, DE,,1,1,0,0,0,0,0,0,0,0,0
"Belvedere Trading
",Data Engineer,"Chicago, IL","Belvedere Trading is a leading proprietary trading firm proudly headquartered in downtown Chicago. Our traders work hard to provide liquidity to the market through their market-making activities and are the masters of a diverse set of commodities, interest rates, exchange-traded funds (ETF), and equity index options. From the beginning, we began iteratively investing in our proprietary technology and committing to building our systems from the ground up. Our trading models and software systems are continually re-engineered, optimized, and maintained to stay on top of the industry. This wouldn’t be possible without the dedicated efforts of our technology teams who utilize and perfect our innovative technology solutions.
Our Intel focus is to deliver high-quality technology solutions to our core and affiliated groups. We strive to understand and support end-user needs, leverage data to gauge effectiveness, and advance our trading infrastructure by stabilizing all departments. The Business Intelligence team strives to ensure that
properly curated data is in the hands of the people who need it. They deliver the data and tools Belvedere




Show More
Report",104.5,201 to 500 Employees,Company - Private,Financial Services,Investment & Asset Management,2002.0, IL,21.0,0,1,0,0,0,0,0,0,0,0,0
"Centerfield
",Data Engineer,"Los Angeles, CA","Hi, We're Centerfield.
Super-powered customer acquisition. Centerfield delivers outcome-based digital marketing solutions and personalized omnichannel experiences for the world’s leading brands. Powered by our proprietary Dugout platform, Centerfield acquires customers at scale for leading residential service, insurance, e-commerce and B2B brands. Centerfield’s digital experiences and digital brands, such as Business.com and BroadbandNow.com, reach more than 150 million in-market shoppers annually. Centerfield is headquartered in Silicon Beach and proud to be recognized as a Best Place to Work in Los Angeles.

The Opportunity...
Centerfield Media, a leading Los Angeles-based online advertising agency, is looking for a talented Data Engineer to join us in building innovative advertising technology. We are looking for a highly motivated, web-focused, Data Engineer with experience with the full data life cycle. You will help design the data collection, ingestion, processing, and storage infrastructure using server-less cloud technologies in support of Centerfield's Data Architecture. You must have practical experience working with large data sets preferably in website lead generation & search engine marketing, SaaS, or cloud computing domains.

Show More
Report",97.5,1001 to 5000 Employees,Company - Private,Media & Communication,Advertising & Public Relations,2011.0, CA,12.0,0,1,0,0,0,0,0,0,0,0,1
"Takeda Pharmaceutical
",Data Engineer,"Bannockburn, IL","By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.
Job Description
About the role:
Plasma-derived therapies are critical, life-saving medicines, which patients with rare and complex diseases around the world rely on every day. Global demand for these therapies, particularly immunoglobulins, has increased dramatically over the last 15 years, and continues to grow. Takeda is established as second largest provider of plasma-derived therapies (PDT) globally. Leveraging on 75+ year pioneering legacy, Takeda believes there is tremendous potential to do more to meet expectations of patients and health care providers with plasma-derived therapies for patients with immunologic, hematologic, autoimmune and other complex diseases.
Bannockburn, IL
Cambridge, MA, USA - PA - Exton
Employee
Regular
Full time
Show More
Report",108.0,10000+ Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1781.0, IL,242.0,0,1,0,0,0,0,0,0,0,0,0
"CPS Energy
",Data Engineer 2 - Data & Analytics Engineering,"San Antonio, TX","We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!
Position Summary
Provide the development and automation of computing processes on premise and in the cloud environment using cloud base architecture to detect, predict and respond to opportunities in business operations. Working with a variety of disparate datasets that encompass many disciplines and business units including weather, transmission and distribution grid infrastructure, power generation, gas delivery, commercial market operations, safety and security and customer engagement. Strive to transform and implement true business integration, leveraging top-notch data integration best practices. Merging and securing data in a way that reduces the cost to maintain and increases the utilization of enterprise-wide data as an asset. Developing business intelligence.



Show More
Report",107.0,1001 to 5000 Employees,Self-employed,"Energy, Mining & Utilities",Energy & Utilities,1942.0, TX,81.0,0,1,0,0,0,0,0,0,0,0,0
"2K
",Data Engineer II,"Austin, TX","Who We Are
2K is headquartered in Novato, California and is a wholly owned label of Take-Two Interactive Software, Inc. (NASDAQ: TTWO). Founded in 2005, 2K Games is a global video game company, publishing titles developed by some of the most influential game development studios in the world. Our studios responsible for developing 2K's portfolio of world-class games across multiple platforms, include Visual Concepts, Firaxis, Hangar 13, CatDaddy, Cloud Chamber, 31st Union, and HB Studios. Our portfolio of titles is expanding due to our global strategic plan, building and acquiring exciting studios whose content continues to inspire all of us! 2K publishes titles in today's most popular gaming genres, including sports, shooters, action, role-playing, strategy, casual, and family entertainment.

Our team of engineers, marketers, artists, writers, data scientists, producers, thinkers and doers, are the professional publishing stewards of our growing library of critically-acclaimed franchises such as NBA 2K, 2K PGA, Battleborn, BioShock, Borderlands, The Quarry, The Darkness, Mafia, Sid Meier's Civilization, Marvel's Midnight Suns, WWE 2K, and XCOM.


Show More
Report",113.5,Unknown,Company - Private,Media & Communication,Video Game Publishing,2005.0, TX,18.0,0,1,0,0,0,0,0,0,0,0,0
"Rothe Development, Inc.
",Data Analytics Engineer,"Kennedy Space Center, FL","Operations and Data Analytics Engineer
Rothe Development, Inc. has an immediate opening for an Operations /Data Analytics Engineer. The potential candidate needs to have experience in developing analytical models, running simulations, performing quantitative and objective analyses, and using the latest Commercial Off-The Shelf (COTS) data science, analytics, and data visualization tools, (e.g., Tableau, power BI) to collect, integrate, and report meaningful metrics from a variety of data sources.
The individual will work as part of the Exploration Ground Systems (EGS) Analytics Team responsible for providing simulation modeling and analysis, math modeling, data visualization and additional analysis products, as needed, to EGS and NASA leadership in support of the Artemis Mission. This position is onsite at Kennedy Space Center.

Duties and Responsibilities
Show More
Report",90.0,51 to 200 Employees,Contract,Financial Services,Accounting & Tax,, FL,,0,1,0,0,0,0,0,0,0,0,0
"ARGO
",Data Engineer II,"Memphis, TN","ARGO is a leading provider of software and analytics solutions for both the financial services and healthcare industries. ARGO transforms business processes for financial service providers and healthcare organizations using proven business models and software innovation informed by real customer challenges, breakthrough technology, and rich analytics.
JOB SUMMARY:

The Data Engineer II is responsible for designing and implementing data solutions to support business needs. The successful candidate will have a strong background in software engineering and database design, as well as experience with working with cloud-based tools and technologies.

EXPECTED WORK AND PERFORMANCE:

This section is intended to provide a more detailed overview of what the expectations of the job are to include: work to be performed, expected performance results and how they will be measured, as well as connection to corporate strategy, values, and mission. Job duties and responsibilities include the following. Other duties may be assigned as needed.

QUALIFICATIONS

PHYSICAL DEMANDS
The candidate will work at our corporate headquarters in Richardson, TX. While performing the duties of this job, the employee is regularly required to stand; walk; sit; use hands to finger, handle, or feel; reach with hands and arms; talk or hear. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and ability to adjust focus.



Show More
Report",98.0,1001 to 5000 Employees,Company - Public,Insurance,Insurance Carriers,1948.0, TN,75.0,0,1,0,0,0,0,0,0,0,0,0
"Ford Motor Company
",Data Engineer,"Dearborn, MI","The GDIA Data Factory (DF) covers all business processes and technical components involved in ingesting a wide range of enterprise data into the GDIA Data Factory and the transformation of that data into consumable data sets and APIs in support of analytics. Data is a critical enabler to achieve our Smart Vehicles in a Smart World aspiration; it is the fuel for AI/ML, Customer Experience, Fitness, and Innovation.
The DFE (Data Factory Enablement) team will own end to end responsibility of the Data Factory Platform Infrastructure/Operations/Guidelines, which includes Project Onboarding/Infrastructure Architecture, Contributor Access process/management, support to all other teams to onboard into the GCP World and more. The DF Curation Team will provide Tools/Solutions/Guidelines for the transformation of that data into consumable data sets and APIs in support of analytics. This team will own the tools it creates with continues development and enhancements.




Show More
Report",95.0,10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1903.0, MI,120.0,0,1,0,0,0,0,0,0,0,0,0
Zoomph,Senior Data Engineer,"Reston, VA","Senior Data Engineer for Zoomph Integration and API Development
Zoomph is a partnerships analytics platform providing best-in-class sponsorship insights by the top sports teams, leagues, media, and brands worldwide. We believe that attention is currency, content fuels commerce, and we win when our customers win.
Zoomph’s mission is to measure and value the digital world, and we take pride in the quality of our data and the disruption our technology has brought to Sports and Entertainment entities like NASCAR, Golden State Warriors, Activision Blizzard, WWE, Wasserman, Angel City FC, and more.
We are searching for a motivated and independent Senior Data Engineer passionate about metadata engineering and DevOps. This dynamic role will allow you to make your mark on our product team by optimizing and expanding our vast infrastructure.




















Show More
Report",113.5,1 to 50 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016.0, VA,7.0,0,1,0,0,0,0,0,0,0,0,1
"Fujitsu
",Data Analytics Engineer II,"Richardson, TX","Fujitsu at a Glance
Fujitsu is a leading information and communication technology (ICT) company, headquartered in Japan, offering a full range of technology products, solutions, and services. Approximately 132,000 Fujitsu people support customers in more than 100 countries. We use our experience and the power of ICT to shape the future of society with our customers.We are a corporate culture that places great value on the pursuit of new possibilities previously unimagined and brings them to fruition has been the foundation of the Fujitsu’s success since its inception. In an increasingly competitive world, in which the pace of change continues to accelerate, Fujitsu must strive for continuous innovation. Each and every employee will rise to the challenge of creating new value amid changes in the management environment, technology, society and the marketplace. With a spirit of challenge, we are committed to the continuous creation of new value. Fujitsu wants innovators like you!








Show More
Report",102.0,10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,1935.0, TX,88.0,0,1,0,0,0,0,0,0,0,0,0
"AURA TECHNOLOGIES LLC.
",Data Engineer [USA - Remote],"Chapel Hill, NC","AURA TECHNOLOGIES, LLC (AURA) is an advanced research and development (R&D) and technology company creating game-changing innovations for the US Department of Defense in Artificial Intelligence (AI) and in other systems-level implementation of cutting-edge technology. We are creating advanced intelligent power systems for the US Army; unconventional tactical lights for the US Marines; revolutionary satellite manufacturing for the US Air Force; and a range of AI platforms for DoD implementation. AURA partners with some of the best companies in the world, such as Boeing, Northrop Grumman, and Lockheed Martin. We also collaborate with the best and brightest at our nation’s universities, including Georgia Tech and NC State University.

If you are a smart, capable, and talented individual who possesses high integrity, thrives in a fast-paced environment, wants to chart your own course based on your capabilities, and is willing to be accountable for failures and successes, then continue reading because you may be the ideal candidate to join our growing R&D business.












US citizenship status is required for this position due to AURA’s contractual obligations to the US Department of Defense (DoD) requiring all employees working in performance of DoD contracts to be US citizens.






Show More
Report",88.0,1 to 50 Employees,Company - Private,Aerospace & Defense,Aerospace & Defense,2015.0, NC,8.0,0,1,0,0,0,0,0,0,0,0,0
Inno Technology,Data Engineer,Remote,"Responsibilities:
Design, develop, and maintain scalable and efficient data pipelines to ingest, transform, and store large volumes of data from various sources.
Collaborate with cross-functional teams to understand data requirements and translate them into technical specifications and data models.
Implement data integration and ETL processes to ensure data quality and consistency.
Perform data profiling, cleansing, and validation to identify and resolve data quality issues.
Optimize data processing and storage systems for performance and cost efficiency.
Monitor and troubleshoot data pipelines to ensure data availability and reliability.
Show More
Report",94.0,,,,,,Remote,,0,1,0,1,0,0,0,0,0,0,0
"HP
",Data Engineer - People Insights,"Spring, TX","The People Insights team at HP is looking for an experienced Data Enablement Engineer to support the build, design, and development of analytics products and platforms. Specifically this role will focus on platform enablement through data modelling, data orchestration, data pipeline, front end feature enablement, API & connection configuration, calculation development and documentation, and tools and technology implementations.
Responsibilities:
Design, develop, and create reporting, analytics, and data orchestration capabilities using applications such as Microsoft Product Stack (Azure,PowerBI), Databricks, Altyryx, Amazon Redshift etc.
Advises and makes recommendations around building or buying solutions for the following topics: Data model storage and maintenance, data processing layers, data aggregation and data management, and advanced analytics enablement.




Show More
Report",115.0,10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1939.0, TX,84.0,0,1,0,0,0,0,0,1,0,0,0
